"","Date","cfs"
"3",Oct 2018,0.218055375
"6",Nov 2018,0.213462032
"9",Dec 2018,0.225032752
"12",Jan 2019,0.207374713
"15",Feb 2019,0.2104192
"18",Mar 2019,0.213947822
"21",Apr 2019,0.187726928
"24",May 2019,0.222098069
"27",Jun 2019,0.204746128
"30",Jul 2019,0.218604383
"33",Aug 2019,0.212615218
"36",Sep 2019,0.208989371
"39",Oct 2019,0.355905913
"42",Nov 2019,0.402122804
"45",Dec 2019,0.398753373
"48",Jan 2020,0.329523662
"51",Feb 2020,0.433866892
"54",Mar 2020,0.321328484
"57",Apr 2020,0.27500448
"60",May 2020,0.339355855
"63",Jun 2020,0.257974976
"66",Jul 2020,0.172363077
"69",Aug 2020,0.33914624
"72",Sep 2020,0.404778464
"75",Oct 2020,0.415108763
"78",Nov 2020,0.525289872
